flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
215,292,298,300,223,-4.95,7.88,3.12,-0.05,0.01,-0.03,0
215,292,299,300,223,-4.73,7.96,3.17,-0.05,0.02,-0.02,0
215,292,299,299,223,-4.98,7.91,3.13,-0.04,0.02,-0.03,0
215,291,298,298,222,-5.04,7.85,3.08,-0.04,0.01,-0.03,0
215,292,298,299,223,-4.77,7.93,3.13,-0.05,0.02,-0.03,0
215,292,298,300,223,-4.77,7.95,3.1,-0.05,0.02,-0.02,0
215,293,298,300,223,-5.19,7.84,3.09,-0.06,0.04,-0.02,0
215,292,298,299,223,-4.97,7.89,3.09,-0.04,-0.01,-0.03,0
215,292,298,299,223,-4.79,7.96,3.12,-0.05,0.01,-0.02,0
215,292,298,299,223,-4.93,7.95,3.15,-0.07,0.04,-0.01,0
215,293,299,300,223,-5.08,7.84,3.11,-0.06,0.04,-0.01,0
215,292,299,301,223,-4.75,7.95,3.17,-0.06,0.01,-0.02,0
215,292,298,300,223,-4.88,7.94,3.18,-0.06,0.01,-0.03,0
215,292,298,299,223,-5.17,7.81,3.2,-0.05,0.02,-0.03,0
215,293,299,300,223,-5.04,7.85,3.2,-0.05,0.02,-0.03,0
215,293,299,300,223,-4.8,7.94,3.12,-0.04,0.04,-0.02,0
215,292,299,299,223,-4.99,7.93,3.08,-0.04,0.02,-0.02,0
215,292,299,299,223,-5.04,7.89,3.1,-0.04,0.01,-0.02,0
219,292,284,296,220,-3.95,8.12,3.8,-0.06,0.0,-0.01,1
219,291,285,296,221,-3.69,8.18,3.81,-0.07,0.01,-0.01,1
219,291,284,296,221,-3.62,8.24,3.9,-0.09,0.01,-0.02,1
219,291,285,297,221,-3.96,8.12,3.99,-0.09,0.01,-0.02,1
219,291,284,297,221,-3.78,8.16,4.1,-0.05,0.03,0.0,1
219,291,284,296,221,-3.6,8.23,4.0,-0.05,0.02,-0.01,1
219,291,284,296,221,-3.96,8.08,3.97,-0.03,0.03,-0.01,1
219,291,284,296,221,-3.86,8.16,4.0,-0.02,0.03,-0.02,1
219,292,284,297,221,-3.61,8.2,3.89,-0.04,0.02,-0.02,1
219,292,285,297,221,-4.05,8.13,3.87,-0.04,0.05,-0.01,1
219,291,284,296,221,-3.8,8.16,3.76,-0.06,0.03,-0.0,1
219,291,284,296,221,-3.68,8.25,3.91,-0.07,0.01,-0.01,1
219,291,285,297,221,-3.88,8.15,3.88,-0.09,0.03,-0.01,1
219,292,284,297,221,-3.84,8.13,3.9,-0.07,0.01,-0.01,1
219,291,284,296,221,-3.66,8.18,4.03,-0.06,0.02,-0.01,1
219,292,284,296,221,-3.91,8.06,3.95,-0.06,0.02,-0.01,1
219,291,284,296,221,-3.73,8.13,3.87,-0.02,0.02,-0.01,1
219,292,284,297,221,-3.57,8.25,3.92,-0.0,0.01,-0.01,1
219,292,284,297,221,-3.88,8.16,3.83,-0.04,0.03,-0.02,1
219,291,285,297,221,-3.84,8.18,3.77,-0.04,0.02,-0.02,1
219,291,284,296,221,-3.72,8.23,3.86,-0.06,0.04,-0.01,1
219,291,284,296,221,-3.82,8.17,3.87,-0.06,0.01,-0.01,1
219,292,284,297,221,-3.89,8.11,3.93,-0.06,0.02,-0.01,1
219,292,284,297,221,-3.63,8.26,3.97,-0.05,0.03,-0.0,1
219,291,284,296,221,-3.89,8.16,3.92,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.84,8.13,3.9,-0.05,0.01,-0.02,1
219,292,284,297,221,-3.71,8.18,3.89,-0.06,0.02,-0.02,1
219,292,285,297,221,-3.9,8.15,3.97,-0.05,0.02,-0.02,1
219,292,284,297,221,-3.89,8.14,3.86,-0.03,0.01,-0.01,1
219,292,284,296,220,-3.58,8.28,3.86,-0.05,0.02,-0.01,1
219,291,284,296,221,-3.89,8.18,3.88,-0.06,0.01,-0.02,1
219,292,284,298,221,-3.97,8.12,3.92,-0.05,0.01,-0.02,1
219,292,284,297,221,-3.69,8.18,3.92,-0.05,0.01,-0.02,1
219,291,284,298,221,-3.89,8.18,3.94,-0.04,0.02,-0.01,1
219,291,284,296,221,-3.93,8.11,3.87,-0.05,0.03,-0.0,1
219,291,284,296,221,-3.62,8.26,3.84,-0.04,0.02,-0.0,1
219,292,284,297,221,-3.73,8.23,3.88,-0.05,0.03,-0.0,1
219,292,284,297,221,-3.98,8.1,3.95,-0.06,0.03,-0.01,1
219,292,285,296,221,-3.69,8.19,3.95,-0.04,0.02,-0.01,1
218,291,284,297,220,-3.8,8.19,3.86,-0.05,0.03,-0.01,1
219,291,284,296,221,-3.89,8.13,3.83,-0.04,0.03,-0.01,1
219,292,284,297,221,-3.71,8.19,3.88,-0.03,0.02,-0.01,1
219,292,284,297,221,-3.82,8.19,3.85,-0.03,0.01,-0.02,1
219,291,285,296,221,-3.96,8.11,3.83,-0.03,-0.02,-0.02,1
219,291,284,297,221,-3.79,8.21,3.88,-0.02,0.03,-0.01,1
219,292,284,296,221,-3.77,8.24,3.86,-0.03,0.01,-0.01,1
219,292,284,297,221,-3.96,8.15,3.75,-0.06,0.01,-0.0,1
219,291,284,297,221,-3.75,8.21,3.9,-0.05,0.03,0.0,1
219,292,284,296,221,-3.65,8.26,3.86,-0.06,0.0,-0.02,1
219,291,284,296,221,-3.99,8.12,3.88,-0.05,0.03,-0.02,1
219,291,284,297,221,-3.83,8.14,3.89,-0.05,0.01,-0.02,1
219,292,284,298,221,-3.64,8.23,3.92,-0.04,0.01,-0.02,1
219,292,284,297,221,-3.98,8.14,3.87,-0.04,0.03,-0.01,1
219,292,284,295,221,-3.73,8.23,3.82,-0.04,0.02,-0.01,1
219,291,284,297,220,-3.74,8.25,3.76,-0.04,0.02,-0.01,1
219,291,284,297,221,-3.91,8.2,3.81,-0.05,0.02,-0.02,1
219,292,284,298,221,-3.86,8.13,3.91,-0.06,0.03,-0.02,1
219,292,284,297,221,-3.68,8.24,3.88,-0.05,0.01,-0.0,1
219,291,284,296,221,-4.01,8.13,3.87,-0.04,0.04,-0.01,1
219,292,284,296,221,-3.67,8.23,3.79,-0.04,0.01,-0.01,1
219,292,284,297,221,-3.57,8.29,3.73,-0.04,0.01,-0.02,1
219,292,284,297,221,-3.96,8.21,3.82,-0.05,0.02,-0.02,1
219,291,284,296,221,-3.9,8.14,3.81,-0.04,0.0,-0.01,1
219,291,284,296,220,-3.7,8.22,3.87,-0.05,0.02,-0.0,1
219,292,284,296,221,-3.84,8.22,3.8,-0.06,0.03,-0.0,1
219,292,284,297,220,-3.84,8.22,3.77,-0.05,0.01,0.0,1
219,292,285,297,221,-3.57,8.3,3.77,-0.06,0.01,-0.02,1
219,292,285,297,221,-3.97,8.15,3.9,-0.06,0.01,-0.02,1
219,291,284,296,221,-3.82,8.1,3.93,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.7,8.17,3.96,-0.04,0.02,-0.0,1
219,292,284,297,221,-3.83,8.22,3.89,-0.02,0.03,0.0,1
219,292,284,297,221,-3.93,8.18,3.83,-0.03,0.03,0.0,1
219,291,283,295,221,-3.57,8.27,3.74,-0.06,0.02,-0.01,1
219,291,284,297,221,-3.92,8.21,3.82,-0.06,0.02,-0.02,1
219,292,284,298,221,-3.99,8.13,3.82,-0.06,0.01,-0.02,1
219,292,284,297,221,-3.68,8.22,3.92,-0.04,0.02,-0.01,1
219,291,284,297,221,-3.8,8.25,3.72,-0.03,0.01,-0.0,1
219,291,284,297,220,-3.79,8.28,3.75,-0.02,-0.0,-0.0,1
219,291,284,296,220,-3.68,8.25,3.67,-0.06,0.01,-0.02,1
219,292,284,297,221,-3.68,8.29,3.73,-0.06,-0.01,-0.02,1
218,292,284,297,221,-3.97,8.11,3.96,-0.07,0.02,-0.03,1
218,292,284,297,221,-3.76,8.14,3.94,-0.08,0.03,-0.03,1
219,291,284,296,220,-3.92,8.14,3.92,-0.05,0.02,-0.02,1
219,291,284,296,221,-4.0,8.15,3.81,-0.04,0.01,-0.02,1
219,292,284,297,221,-3.74,8.25,3.78,-0.05,0.02,-0.01,1
219,292,284,297,221,-3.72,8.27,3.67,-0.06,0.01,-0.01,1
219,291,284,297,221,-3.96,8.21,3.72,-0.07,0.01,-0.01,1
219,291,284,296,221,-3.7,8.2,3.85,-0.09,0.01,-0.01,1
219,292,284,296,220,-3.67,8.24,3.91,-0.07,0.02,-0.01,1
219,292,284,298,221,-3.94,8.13,3.91,-0.08,0.03,-0.01,1
219,292,284,296,221,-3.72,8.18,3.87,-0.05,0.01,-0.01,1
219,292,284,296,221,-3.72,8.25,3.85,-0.05,0.04,-0.01,1
219,291,284,296,221,-3.89,8.17,3.76,-0.05,0.0,-0.01,1
219,291,284,297,221,-3.81,8.2,3.8,-0.05,0.0,-0.02,1
219,292,284,297,221,-3.69,8.24,3.89,-0.06,0.01,-0.02,1
219,292,284,297,221,-4.01,8.15,3.83,-0.05,0.01,-0.02,1
219,292,284,297,221,-3.8,8.16,3.87,-0.05,0.02,-0.0,1
219,291,284,296,221,-3.61,8.22,3.84,-0.04,0.01,-0.0,1
219,292,284,297,221,-3.86,8.17,3.89,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.83,8.18,3.89,-0.05,0.02,-0.01,1
219,292,284,296,221,-3.59,8.27,3.79,-0.05,0.0,-0.02,1
219,291,284,296,221,-3.99,8.16,3.84,-0.05,0.02,-0.01,1
219,292,284,296,221,-3.89,8.21,3.85,-0.05,0.01,-0.01,1
219,292,284,297,221,-3.6,8.23,3.78,-0.08,0.02,-0.01,1
219,292,284,297,221,-3.84,8.19,3.94,-0.05,0.01,-0.02,1
219,292,284,297,221,-3.85,8.11,3.76,-0.08,0.02,-0.02,1
219,291,284,296,221,-3.58,8.24,3.98,-0.06,0.02,-0.01,1
219,291,284,297,221,-3.76,8.24,3.97,-0.06,0.02,-0.01,1
219,292,284,298,221,-3.91,8.14,3.86,-0.06,0.02,-0.02,1
219,291,284,298,221,-3.65,8.23,3.99,-0.05,0.03,-0.03,1
219,292,284,297,220,-3.88,8.17,3.95,-0.06,0.02,-0.02,1
219,291,284,296,221,-3.89,8.15,3.84,-0.03,0.03,-0.01,1
219,292,284,297,221,-3.75,8.21,3.78,-0.01,0.03,-0.01,1
219,292,284,297,221,-3.8,8.24,3.75,-0.03,0.02,-0.01,1
219,291,284,297,221,-3.92,8.17,3.87,-0.05,0.01,-0.01,1
219,291,284,296,220,-3.63,8.23,3.85,-0.06,0.02,-0.02,1
219,291,284,296,221,-3.92,8.13,3.97,-0.06,0.01,-0.03,1
219,292,284,296,221,-4.01,8.07,3.95,-0.05,0.02,-0.02,1
219,292,284,297,221,-3.75,8.17,3.9,-0.03,0.02,-0.01,1
219,292,284,297,221,-3.73,8.25,3.81,-0.02,0.02,-0.01,1
219,291,284,296,221,-3.92,8.19,3.74,-0.02,0.02,-0.01,1
219,292,284,297,221,-3.83,8.24,3.72,-0.03,0.02,-0.02,1
219,292,284,297,221,-3.66,8.27,3.68,-0.06,-0.0,-0.02,1
219,292,284,298,221,-4.0,8.13,3.89,-0.06,0.0,-0.02,1
219,292,284,297,221,-3.86,8.12,3.86,-0.08,0.03,-0.02,1
219,291,284,297,220,-3.78,8.19,3.91,-0.06,0.02,0.0,1
219,292,284,297,221,-3.95,8.15,3.99,-0.04,0.04,0.0,1
219,292,284,298,221,-3.81,8.19,3.77,-0.03,0.02,-0.01,1
219,291,284,297,221,-3.63,8.28,3.74,-0.05,0.03,-0.01,1
219,291,284,296,221,-3.94,8.16,3.82,-0.07,0.01,-0.02,1
219,291,284,295,221,-3.78,8.19,3.83,-0.06,0.02,-0.01,1
218,291,284,297,221,-3.68,8.26,3.9,-0.05,0.02,-0.01,1
219,292,284,297,221,-3.87,8.2,3.81,-0.06,0.02,-0.01,1
219,291,284,297,221,-3.8,8.2,3.75,-0.06,0.02,-0.0,1
219,292,284,297,221,-3.65,8.28,3.85,-0.07,0.02,-0.01,1
219,292,284,296,221,-3.76,8.25,3.83,-0.08,0.01,-0.01,1
219,292,284,296,221,-3.92,8.1,3.94,-0.06,0.01,-0.01,1
219,292,284,297,221,-3.66,8.22,3.94,-0.04,0.03,-0.01,1
219,292,284,297,221,-3.84,8.18,3.8,-0.04,0.01,-0.01,1
218,291,284,297,221,-3.87,8.15,3.84,-0.04,0.03,-0.02,1
204,291,283,293,218,-4.03,7.88,4.23,-0.01,0.04,-0.01,2
204,292,283,294,218,-3.75,8.01,3.97,0.0,-0.0,-0.03,2
204,291,283,293,218,-4.38,7.76,4.17,-0.07,0.07,-0.01,2
204,291,283,293,218,-3.64,8.17,4.26,-0.03,-0.05,-0.01,2
204,291,283,293,217,-4.36,7.75,4.29,-0.1,0.11,-0.03,2
204,291,283,293,217,-3.95,8.04,4.14,-0.02,-0.06,-0.02,2
204,291,283,294,218,-4.32,7.72,4.26,-0.1,0.13,0.0,2
204,292,283,294,218,-3.81,8.03,4.14,-0.05,-0.05,0.02,2
204,292,283,294,218,-4.24,7.77,4.13,-0.12,0.11,-0.03,2
204,291,282,293,217,-3.95,7.88,4.2,-0.06,-0.03,0.02,2
204,291,283,294,218,-4.01,7.91,4.42,-0.07,0.05,0.01,2
204,292,283,293,218,-4.07,7.85,4.16,-0.07,0.03,0.02,2
204,291,283,294,218,-3.8,7.93,4.36,-0.06,0.07,0.02,2
204,291,283,294,218,-3.93,8.04,4.07,-0.05,0.02,-0.02,2
204,291,283,293,218,-4.06,7.9,3.99,-0.09,0.05,-0.02,2
204,291,283,294,218,-3.94,7.94,4.28,-0.05,-0.01,-0.02,2
204,292,283,293,218,-4.14,7.84,4.2,-0.1,0.01,-0.05,2
204,292,283,293,218,-4.27,7.7,4.28,-0.09,-0.01,-0.01,2
204,291,283,293,218,-3.85,7.88,4.42,-0.08,0.01,-0.01,2
203,290,283,293,217,-4.04,7.79,4.35,-0.1,0.04,-0.0,2
204,291,283,294,217,-4.04,7.82,4.38,-0.05,-0.01,0.0,2
204,291,283,294,218,-3.84,7.87,4.37,-0.06,0.04,-0.01,2
204,291,283,294,218,-4.04,7.86,4.38,-0.05,0.0,-0.01,2
204,291,283,293,217,-4.04,7.86,4.33,-0.04,0.03,-0.03,2
204,291,283,293,217,-3.9,7.82,4.31,-0.04,0.03,-0.02,2
204,292,283,294,218,-3.94,7.95,4.34,-0.01,0.01,-0.01,2
204,292,283,294,218,-4.12,7.83,4.22,-0.03,0.03,-0.03,2
204,291,283,293,217,-4.01,7.83,4.15,-0.05,0.04,-0.01,2
203,291,283,292,217,-4.12,7.89,4.18,-0.05,0.0,-0.03,2
204,291,283,292,217,-4.22,7.82,4.31,-0.07,-0.0,-0.01,2
204,291,283,293,217,-3.85,7.88,4.41,-0.06,0.01,-0.01,2
204,291,283,294,218,-4.02,7.87,4.41,-0.05,0.03,-0.01,2
204,291,283,293,217,-3.94,7.91,4.3,-0.02,0.01,-0.02,2
204,291,283,293,218,-3.78,7.95,4.2,-0.04,0.01,-0.02,2
204,291,283,293,217,-4.08,7.89,4.21,-0.04,0.02,-0.04,2
204,291,282,293,218,-4.21,7.73,4.23,-0.07,0.04,-0.03,2
204,292,283,293,218,-3.9,7.92,4.27,-0.06,-0.01,-0.02,2
204,291,283,293,218,-4.15,7.85,4.29,-0.05,0.03,-0.01,2
203,290,283,293,218,-4.12,7.79,4.32,-0.06,0.03,0.0,2
204,291,283,294,218,-3.81,7.96,4.23,-0.05,0.01,-0.02,2
204,292,283,294,218,-4.22,7.77,4.23,-0.08,0.01,-0.01,2
204,291,283,293,218,-4.01,7.89,4.35,-0.07,-0.02,-0.02,2
204,290,283,293,218,-3.97,7.88,4.33,-0.09,0.05,-0.03,2
204,291,283,293,218,-4.28,7.67,4.28,-0.1,0.06,-0.02,2
204,291,283,293,218,-3.95,7.9,4.38,-0.02,-0.02,-0.0,2
204,291,283,293,218,-4.06,7.85,4.23,-0.06,0.05,-0.03,2
204,291,282,293,217,-4.1,7.86,4.16,-0.04,-0.02,-0.02,2
203,291,283,293,217,-3.94,7.87,4.29,-0.08,0.03,-0.04,2
204,291,283,293,217,-4.07,7.79,4.29,-0.09,0.02,-0.04,2
204,291,283,294,217,-4.15,7.84,4.3,-0.05,-0.02,-0.02,2
204,291,283,293,218,-4.16,7.74,4.4,-0.08,0.04,-0.0,2
203,291,283,294,218,-4.0,7.88,4.26,-0.07,-0.01,0.01,2
204,290,283,293,217,-4.28,7.77,4.28,-0.04,0.0,-0.0,2
204,291,283,293,218,-3.96,7.82,4.3,-0.08,-0.01,-0.01,2
204,292,283,294,218,-3.97,7.86,4.33,-0.07,-0.02,-0.05,2
204,291,283,293,218,-4.24,7.71,4.41,-0.07,-0.01,-0.03,2
204,291,283,293,217,-3.8,7.81,4.55,-0.06,-0.01,-0.02,2
204,291,283,293,218,-4.04,7.71,4.54,-0.06,0.03,-0.01,2
204,292,283,293,218,-4.12,7.8,4.45,-0.02,0.0,-0.02,2
204,292,283,294,218,-4.03,7.77,4.4,-0.03,0.05,-0.02,2
204,292,283,294,217,-3.97,7.88,4.27,-0.01,0.02,-0.01,2
203,291,283,293,217,-4.17,7.8,4.17,-0.03,0.04,-0.03,2
204,291,283,293,218,-4.07,7.82,4.17,-0.03,0.01,-0.02,2
204,292,282,294,218,-4.05,7.89,4.21,-0.05,0.01,-0.01,2
204,292,283,294,218,-4.24,7.66,4.32,-0.08,0.04,-0.01,2
204,292,283,294,218,-3.94,7.79,4.39,-0.06,0.04,0.01,2
203,291,283,294,217,-4.04,7.83,4.4,-0.03,0.02,-0.02,2
203,292,283,294,218,-4.3,7.68,4.4,-0.05,0.04,-0.02,2
204,291,283,294,218,-3.85,7.91,4.23,-0.02,0.0,-0.03,2
204,292,283,294,218,-4.18,7.87,4.25,-0.03,0.04,-0.02,2
203,291,282,293,217,-4.22,7.74,4.23,-0.06,0.03,-0.0,2
204,291,283,293,217,-3.94,7.89,4.22,-0.05,0.0,-0.01,2
204,291,283,293,217,-4.27,7.79,4.29,-0.08,0.04,0.0,2
203,292,283,294,218,-4.13,7.76,4.3,-0.06,0.0,-0.01,2
204,291,282,294,218,-3.84,7.93,4.53,-0.03,0.02,-0.01,2
